agency_nbr,agency,status
804,Logan County Sheriff's  Office,Active
805,Lombard Park Dist Police Dept,Inactive
806,Lombard Police Dept,Active
807,London Mills Police Dept,Inactive
808,Lostant Police Dept,Active
809,Loves Park Police Dept,Active
810,Lovington Police Dept,Active
811,Loyola University Police Department,Active
812,Ludlow Police Dept,Active
813,Lyndon Police Dept,Active
814,Lynwood Police Dept,Active
815,Lyons Police Department,Active
816,Mackinaw Police Dept,Active
817,Macomb Police Dept,Active
818,Macon Co Circuit Clerk,Active
819,Macon Co Conserv Dist Police,Inactive
820,Macon Co Coroner's Office,Inactive
821,Macon Co State's Attorney,Active
822,Macon County Sheriff's Office,Active
823,Macoupin Co Circuit Clerk,Active
824,Macoupin Co Coroner's Office,Inactive
825,Macoupin Co State's Attorney,Active
826,Macoupin County Sheriff's Office,Active
827,Madison Co Circuit Clerk,Active
828,Madison Co Coroner's Office,Inactive
829,Madison Co State's Attorney,Active
830,Madison County Sheriff's Office,Active
831,Madison Police Department,Active
832,Magnolia Police Dept,Inactive
833,Mahomet Police Dept,Active
834,Malta Police Dept,Active
835,Manhattan Police Dept,Active
836,Manito Police Dept,Active
837,Manlius Police Dept,Inactive
838,Mansfield Police Dept,Active
839,Manteno Police Dept,Active
840,Maple Park Police Dept,Active
841,Maquon Police Dept,Active
842,Marengo Police Dept,Active
843,Marine Police Dept,Active
844,Marion Co Circuit Clerk,Active
845,Marion Co Coroner's Office,Inactive
846,Marion Co State's Attorney,Inactive
847,Marion County Sheriff's Office,Active
848,Marion Police Dept,Active
849,Marissa Police Dept,Active
850,Mark Police Department,Active
851,Markham Park Dist Police Dept,Inactive
852,Markham Police Dept,Active
853,Maroa Police Dept,Active
854,Marquette Heights Police Dept,Active
855,Marseilles Police Dept,Active
856,Marshall Co Circuit Clerk,Active
857,Marshall Co Coroner's Office,Inactive
858,Marshall Co State's Attorney,Active
859,Marshall County Sheriff's Office,Active
860,Marshall Police Dept,Active
861,Martinsville Police Dept,Active
862,Maryville Police Dept,Active
863,Mascoutah Police Dept,Active
864,Mason City Police Dept,Active
865,Mason Co Circuit Clerk,Active
866,Mason Co Coroner's Office,Inactive
867,Mason Co State's Attorney,Inactive
868,Mason County Sheriff's Office,Active
869,Massac Co Circuit Clerk,Active
870,Massac Co Coroner's Office,Inactive
871,Massac Co State's Attorney,Inactive
872,Massac County Sheriff's Office,Active
873,Matherville Police Dept,Inactive
874,Matteson Police Dept,Active
875,Mattoon Police Dept,Active
876,Maywood Park Dist Police Dept,Inactive
877,Maywood Police Dept,Active
878,Mazon Police Dept,Active
879,McClure Police Dept,Active
880,McCook Police Dept,Active
881,McCullom Lake Police Dept,Active
882,McDonough Co Circuit Clerk,Active
883,McDonough Co Coroner's Office,Inactive
884,McDonough Co State's Attorney,Active
885,McDonough County Sheriff's Office,Active
886,McHenry Co Circuit Clerk,Active
887,McHenry Co Conserv Dist Police,Active
888,McHenry Co Coroner's Office,Inactive
889,McHenry Co State's Attorney,Active
890,McHenry County College Police,Active
891,McHenry County Sheriff's Office,Active
892,McHenry Police Dept,Active
893,McHenry Shores Police Dept,Inactive
894,McKendree University Public Safety,Active
895,McLean Co Circuit Clerk,Active
896,McLean Co Coroner's Office,Inactive
897,McLean Co State's Attorney,Inactive
898,McLean County Park Police Dept,Inactive
899,McLean County Sheriff's Office,Active
900,McLean Police Dept,Active
901,McLeansboro Police Dept,Active
902,McNabb Police Dept,Active
903,Mechanicsburg Police Dept,Inactive
904,Medinah Park District Police,Inactive
905,Medora Police Dept,Inactive
906,Melrose Park Police Dept,Active
907,Melvin Police Dept,Inactive
908,Memorial Park Dist Police Dept,Inactive
909,Menard Co Circuit Clerk,Active
910,Menard Co Coroner's Office,Inactive
911,Menard Co State's Attorney,Inactive
912,Menard County Sheriff's Office,Active
913,Mendon Police Dept,Active
914,Mendota Police Dept,Active
915,Mercer Co Circuit Clerk,Active
916,Mercer Co Coroner's Office,Inactive
917,Mercer Co State's Attorney,Active
918,Mercer County Sheriff's Office,Active
919,Meredosia Police Dept,Active
920,Merrionette Park Police Dept,Active
921,Metamora Police Dept,Active
922,Metra Police Dept,Active
923,Metro Water Reclamation District of,Active
924,Metropolis Police Dept,Active
925,Metropolitan Airport Auth Police,Active
926,Middletown Police Dept,Inactive
927,Midlothian Police Dept,Active
928,Milan Police Dept,Active
929,Milford Police Dept,Active
930,Milledgeville Police Dept,Active
931,Millington Police Dept,Inactive
932,Millstadt Police Dept,Active
933,Minier Police Dept,Active
934,Minonk Police Dept,Inactive
935,Minooka Police Dept,Active
936,Modesto Police Dept,Inactive
937,Mokena Police Dept,Active
938,Moline Police Dept,Active
939,Momence Police Dept,Active
940,Monee Police Dept,Active
941,Monmouth Police Department,Active
942,Monroe Co Circuit Clerk,Active
943,Monroe Co Coroner's Office,Inactive
944,Monroe Co State's Attorney,Active
945,Monroe County Sheriff's Office,Active
946,Montgomery Co Circuit Clerk,Active
947,Montgomery Co Coroner's Office,Inactive
948,Montgomery Co State's Attorney,Inactive
949,Montgomery County Sheriff's Office,Active
950,Montgomery Police Dept,Active
951,Monticello Police Dept,Active
952,Moraine Valley C C Police Dept,Active
953,Morgan Co Circuit Clerk,Active
954,Morgan Co Coroner's Office,Inactive
955,Morgan Co State's Attorney,Inactive
956,Morgan County Sheriff's Office,Active
957,Morris Police Dept,Active
958,Morrison Police Dept,Active
959,Morrisonville Police Dept,Active
960,Morton College Police Dept,Active
961,Morton Grove Park Dist Police Dept,Inactive
962,Morton Grove Police Dept,Active
963,Morton Police Dept,Active
964,Moultrie Co Circuit Clerk,Active
965,Moultrie Co Coroner's Office,Inactive
966,Moultrie Co State's Attorney,Inactive
967,Moultrie County Sheriff's Office,Active
968,Mound City Police Dept,Active
969,Mounds Police Dept,Active
970,Mount Carroll Police Dept,Active
971,Mount Prospect Police Dept,Active
972,Moweaqua Police Dept,Active
973,Mount Auburn Police Dept,Inactive
974,Mount Carmel Police Dept,Active
975,Mount Clare Police Dept,Inactive
976,Mount Morris Police Dept,Active
977,Mount Olive Police Dept,Active
978,Mount Pulaski Police Dept,Active
979,Mount Sterling Police Dept,Active
980,Mount Vernon Police Dept,Active
981,Mount Zion Police Dept,Active
982,Muddy Police Dept,Inactive
983,Mulberry Grove Police Department,Active
984,Mundelein Park Dist Police Dept,Inactive
985,Mundelein Police Deptartment,Active
986,Murphysboro  Police Dept,Active
987,Murrayville Police Department,Active
988,Naperville Park Dist Police Dept,Active
989,Naperville Police Dept,Active
990,Naplate Police Dept,Active
991,Nashville Police Dept,Active
992,National City Police Dept,Inactive
993,Nauvoo Police Dept,Active
994,Neoga Police Dept,Active
995,Neponset Police Dept,Active
996,New Athens Police Dept,Active
997,New Baden Police Dept,Active
998,New Berlin Police Dept,Active
999,New Boston Police Dept,Active
1000,New Douglas Police Dept,Active
1001,New Haven Police Dept,Inactive
1002,New Holland Police Dept,Inactive
1003,New Lenox Police Dept,Active
1004,New Windsor Police Dept,Active
1005,Newark Police Department,Inactive
1006,Newman Police Dept,Active
1007,Newton Police Dept,Active
1008,Niantic Police Dept,Active
1009,Niles Police Dept,Active
1010,Nilwood Police Dept,Inactive
1011,Northern Indiana Commuter Transit,Active
1012,Nokomis Police Dept,Active
1013,Non-Reimbursable Agencies,Active
1014,Norfolk Southern Railroad Police,Active
1015,Normal Police Dept,Active
1016,Norridge Police Dept,Active
1017,Norris City Police Dept,Active
1018,North Aurora Police Dept,Active
1019,North Chicago Police Dept,Active
1020,North Pekin Police Dept,Active
1021,North Riverside Police Dept,Active
1022,North Utica Police Dept,Active
1023,Northbrook Police Dept,Active
1024,Northeastern IL Univ Police Dept,Active
1025,Northern Illinois University Police,Active
1026,Northfield Police Dept,Active
1027,Northlake Police Dept,Active
1028,Northwestern Mem Hosp Security,Inactive
1029,Northwestern University Police Dept,Active
1030,Norwood Police Dept,Active
1031,O'Fallon Police Dept,Active
1032,Oak Brook Police Dept,Active
1033,Oak Forest Health Centr Pub. Safety,Inactive
1034,Oak Forest Park Dist Police Dept,Inactive
1035,Oak Forest Police Dept,Active
1036,Oak Lawn Police Dept,Active
1037,Oak Park Police Dept,Active
1038,Oakbrook Terrace Police Dept,Active
1039,Oakland Police Dept,Active
1040,Oakton C C Public Safety Dept,Active
1041,Oakwood Hills Police Dept,Active
1042,Oakwood Police Dept,Active
1043,Oblong Police Dept,Active
1044,Odin Police Dept,Active
1045,Office of the Il Fire Marshal,Active
1046,Ogden Police Dept,Inactive
1047,Ogle Co Circuit Clerk,Active
1048,Ogle Co Coroner's Office,Inactive
1049,Ogle Co State's Attorney,Inactive
1050,Ogle County Sheriff's Office,Active
1051,Oglesby Police Dept,Active
1052,Okawville Police Dept,Active
1053,Old Shawneetown Police Dept,Inactive
1054,Olmsted Police Dept,Active
1055,Olney Police Dept,Active
1056,Olympia Fields Police Dept,Active
1057,Omaha Police Dept,Inactive
1058,Onarga Police Dept,Active
1059,Oquawka Police Dept,Active
1060,Orangeville Police Dept,Active
1061,Oreana Police Dept,Active
1062,Oregon Park District PD,Inactive
1063,Oregon Police Dept,Active
1064,Orient Police Dept,Active
1065,Orion Police Dept,Inactive
1066,Orland Hills Police Dept,Active
1067,Orland Park Police Dept,Active
1068,Oswego Police Dept,Active
1069,Ottawa Police Dept,Active
1070,Palatine Police Dept,Active
1071,Palestine Police Dept,Active
1072,Palmyra Police Dept,Active
1073,Palos Heights Police Dept,Active
1074,Palos Hills Police Dept,Active
1075,Palos Park Police Dept,Active
1076,Pana Police Dept,Active
1077,Panama Police Dept,Inactive
1078,Paris Police Dept,Active
1079,Park City Police Dept,Active
1080,Park Forest Police Dept,Active
1081,Park Ridge Park Dist Police Dept,Inactive
1082,Park Ridge Police Dept,Active
1083,Parkland College Police Dept,Active
1084,Patoka Police Dept,Active
1085,Paw Paw Police Dept,Inactive
1086,Pawnee Police Dept,Active
1087,Paxton Police Dept,Active
1088,Payson Police Dept,Active
1089,Pearl City Police Dept,Active
1090,Pecatonica Police Dept,Active
1091,Pekin Park Dist Police Dept,Active
1092,Pekin Police Dept,Active
1093,Peoria Co Circuit Clerk,Active
1094,Peoria Co Coroner's Office,Inactive
1095,Peoria Co State's Attorney,Active
1096,Peoria County Sheriff's Office,Active
1097,Peoria Heights Police Dept,Active
1098,Peoria Park Dist Police Dept,Active
1099,Peoria Police Dept,Active
1100,Peoria Pub School Dist Police Dept,Inactive
1101,Peotone Police Dept,Active
1102,Percy Police Dept,Inactive
1103,Perry Co Circuit Clerk,Active
1104,Perry Co Coroner's Office,Inactive
1105,Perry Co State's Attorney,Active
1106,Perry County Sheriff's Office,Active
1107,Perry Police Dept,Inactive
1108,Peru Police Dept,Active
1109,Petersburg Police Dept,Active
1110,Phoenix Police Dept,Active
1111,Piatt Co Circuit Clerk,Active
1112,Piatt Co Coroner's Office,Inactive
1113,Piatt Co State's Attorney,Inactive
1114,Piatt County Sheriff's Office,Active
1115,Pierron Police Department,Active
1116,Pike Co Circuit Clerk,Active
1117,Pike Co Coroner's Office,Inactive
1118,Pike Co State's Attorney,Active
1119,Pike County Sheriff's Office,Active
1120,Pinckneyville Police Dept,Active
1121,Pingree Grove Police Dept,Active
1122,Piper City Police Dept,Inactive
1123,Pittsburg Police Dept,Active
1124,Pittsfield Police Dept,Active
1125,Plainfield Police Dept,Active
1126,Plano Police Dept,Active
1127,Pleasant Hill Police Dept,Active
1128,Pleasant Plains Police Dept,Active
1129,Plymouth Police Dept,Active
1130,Pocahontas Police Dept,Active
1131,Police Corps,Inactive
1132,Polo Police Dept,Active
1133,Pontiac Police Dept,Active
1134,Pontoon Beach Police Dept,Active
1135,Pope Co Circuit Clerk,Active
1136,Pope Co Coroner's Office,Inactive
1137,Pope Co State's Attorney,Active
1138,Pope County Sheriff's Office,Active
1139,Poplar Grove Police Department,Inactive
1140,Port Barrington Police Dept,Inactive
1141,Port Byron Police Dept,Inactive
1142,Posen Police Dept,Active
1143,Potomac Police Dept,Active
1144,Prairie Du Rocher Police Dept,Active
1145,Prairie Grove Police Dept,Active
1146,Prairie State College Police Dept,Active
1147,Pre-Service Training,Inactive
1148,Princeton Police Dept,Active
1149,Prophetstown Police Dept,Active
1150,Prospect Heights Park Dist. Police,Inactive
1151,Prospect Heights Police Dept,Active
1152,PTB Intern Program,Active
1153,Pulaski Co Circuit Clerk,Active
1154,Pulaski Co Coroner's Office,Inactive
1155,Pulaski Co State's Attorney,Inactive
1156,Pulaski County Sheriff's Office,Active
1157,Pulaski Police Department,Inactive
1158,Putnam Co Circuit Clerk,Active
1159,Putnam Co Coroner's Office,Inactive
1160,Putnam Co State's Attorney,Active
1161,Putnam County Sheriff's Office,Active
1162,Quincy Park Dist Police Dept,Inactive
1163,Quincy Police Dept,Active
1164,Raleigh Police Dept,Active
1165,Ramsey Police Dept,Active
1166,Randolph Co Circuit Clerk,Active
1167,Randolph Co Coroner's Office,Inactive
1168,Randolph Co State's Attorney,Active
1169,Randolph County Sheriff's Office,Active
1170,Rankin Police Dept,Active
1171,Ransom Police Dept,Inactive
1172,Rantoul Police Dept,Active
1173,Raymond Police Dept,Active
1174,Red Bud Police Dept,Active
1175,Rend Lake College Police Dept,Active
1176,Rend Lake Conserv Dist Police Dept,Inactive
1177,Richland Co Circuit Clerk,Active
1178,Richland Co Coroner's Office,Inactive
1179,Richland Co State's Attorney,Active
1180,Richland County Sheriff's Office,Active
1181,Richmond Police Dept,Active
1182,Richton Park Police Dept,Active
1183,Ridge Farm Police Dept,Active
1184,Ridgway Police Dept,Active
1185,Ridott Police Dept,Active
1186,Rio Police Department,Inactive
1187,River Forest Police Dept,Active
1188,River Grove Police Dept,Active
1189,Riverdale Police Dept,Active
1190,Riverside Police Dept,Active
1191,Riverton Police Dept,Active
1192,Riverwoods Police Dept,Active
1193,Roanoke Police Dept,Inactive
1194,Robbins Police Dept,Active
1195,Roberts Police Dept,Inactive
1196,Robinson Police Dept,Active
1197,Rochelle Police Dept,Active
1198,Rochester Police Dept,Active
1199,Rock Falls Police Dept,Active
1200,Rock Island Co Circuit Clerk,Active
1201,Rock Island Co Coroner's Office,Inactive
1202,Rock Island Co State's Attorney,Active
1203,Rock Island County Sheriff's Office,Active
1204,Rock Island Police Dept,Active
1205,Rock Valley College Police Dept,Active
1206,Rockdale Police Dept,Active
1207,Rockford Metro Centre Police Dept,Active
1208,Rockford Park Dist Police Dept,Active
1209,Rockford Police Dept,Active
1210,Rockton Police Dept,Active
1211,Rolling Meadows Police Dept,Active
1212,Romeoville Police Dept,Active
1213,Roodhouse Police Dept,Active
1214,Roscoe Police Dept,Active
1215,Roselle Police Dept,Active
1216,Rosemont Police Dept,Active
1217,Rosiclare Police Dept,Active
1218,Rossville Police Dept,Active
1219,Round Lake Area Park Dist Police,Inactive
1220,Round Lake Beach Police Dept,Active
1221,Round Lake Heights Police Dept,Active
1222,Round Lake Park PD,Active
1223,Round Lake Police Dept,Active
1224,Roxana Police Dept,Active
1225,Royal Lakes Police Dept,Inactive
1226,Royalton Police Dept,Active
1227,Ruma Police Dept,Active
1228,Rushville Police Dept,Active
1229,Russellville Police Dept,Inactive
1230,Rutland Police Department,Inactive
1231,Saint Elmo Police Dept,Active
1232,Salem Police Dept,Active
1233,Saline Co Circuit Clerk,Active
1234,Saline Co Coroner's Office,Inactive
1235,Saline Co State's Attorney,Active
1236,Saline County Sheriff's Office,Active
1237,San Jose Police Dept,Active
1238,Sandoval Police Dept,Active
1239,Sandwich Police Dept,Active
1240,Sangamon Co Circuit Clerk,Active
1241,Sangamon Co Coroner's Office,Inactive
1242,Sangamon Co State's Attorney,Active
1243,Sangamon County Sheriff's Office,Active
1244,Sauget Police Dept,Active
1245,Sauk Village Police Dept,Active
1246,Savanna Police Dept,Active
1247,Saybrook Police Dept,Inactive
1248,Scales Mound Police Dept,Active
1249,Schaumburg Police Dept,Active
1250,Schiller Park Police Dept,Active
1251,Schram City Police Dept,Inactive
1252,Schuyler Co Circuit Clerk,Active
1253,Schuyler Co Coroner's Office,Inactive
1254,Schuyler Co State's Attorney,Active
1255,Schuyler County Sheriff's Office,Active
1256,Scott Co Circuit Clerk,Active
1257,Scott Co Coroner's Office,Inactive
1258,Scott Co State's Attorney,Inactive
1259,Scott County Sheriff's Office,Active
1260,Seaton Police Department,Inactive
1261,Secretary of State Police,Active
1262,Seneca Police Dept,Active
1263,Sesser Police Dept,Active
1264,Shabbona Police Dept,Inactive
1265,Shannon Police Dept,Active
1266,Shawnee Community College Police,Inactive
1267,Shawneetown Police Dept,Active
1268,Sheffield Police Dept,Active
1269,Shelby Co Circuit Clerk,Active
1270,Shelby Co Coroner's Office,Inactive
1271,Shelby Co State's Attorney,Inactive
1272,Shelby County Sheriff's Office,Active
1273,Shelbyville Police Dept,Active
1274,Sheldon Police Dept,Active
1275,Sheridan Police Dept,Active
1276,Sherman Police Dept,Active
1277,Sherrard Police Dept,Active
1278,Shiloh Police Dept,Active
1279,Shipman Police Dept,Inactive
1280,Shorewood Police Dept,Active
1281,Sidell Police Dept,Active
1282,Silvis Police Dept,Active
1283,SIU School Of Medicine Police,Active
1284,SIU Police Dept,Active
1285,SIU-E Police Dept,Active
1286,Skokie Police Dept,Active
1287,Sleepy Hollow Police Dept,Active
1288,Smithton Police Dept,Active
1289,Somonauk Police Dept,Active
1290,Sorento Police Dept,Active
1291,SOS Capital Police Dept,Active
1292,South Barrington Police Dept,Active
1293,South Beloit Police Dept,Active
1294,South Chicago Heights Police Dept,Active
1295,South Elgin Police Dept,Active
1296,South Holland Police Dept,Active
1297,South Jacksonville Police Dept,Active
1298,South Pekin Police Dept,Active
1299,South Roxana Police Dept,Active
1300,South Suburban College Police Dept,Active
1301,Southern Illinois Airport Authority,Active
1302,Southern View Police Dept,Active
1303,Southwestern IL College Police Dept,Active
1304,Sparland Police Dept,Inactive
1305,Sparta Police Dept,Active
1306,Spaulding Police Dept,Active
1307,Spillertown Police Dept,Active
1308,Spring Bay Police Dept,Inactive
1309,Spring Grove Police Dept,Active
1310,Spring Valley Police Dept,Active
1311,Springfield Park Dist Police Dept,Active
1312,Springfield Police Dept,Active
1313,Saint Anne Police Dept,Active
1314,Saint Augustine Police Dept,Inactive
1315,Saint Charles Police Dept,Active
1316,Saint Clair Co Circuit Clerk,Active
1317,Saint Clair Co Coroner's Office,Inactive
1318,Saint Clair Co State's Attorney,Active
1319,Saint Clair County - Metro Patrol,Inactive
1320,Saint Clair County Sheriff's Office,Active
1321,Saint David Police Dept,Inactive
1322,Saint Francisville Police Dept,Active
1323,Saint Jacob Police Dept,Active
1324,Saint Johns Police Dept,Inactive
1325,Saint Peter Police Dept,Inactive
1326,Saint Xavier University Police Dept,Active
1327,Standard Police Department,Inactive
1328,Stanford Police Dept,Active
1329,Stark Co Circuit Clerk,Active
1330,Stark Co Coroner's Office,Inactive
1331,Stark Co State's Attorney,Inactive
1332,Stark County Sheriff's Office,Active
1333,State's Attorneys Appellate Prosecu,Inactive
1334,Staunton Police Dept,Active
1335,Steeleville Police Dept,Active
1336,Steger Police Dept,Active
1337,Stephenson Co Circuit Clerk,Active
1338,Stephenson Co Coroner's Office,Inactive
1339,Stephenson Co State's Attorney,Inactive
1340,Stephenson County Sheriff's Office,Active
1341,Sterling Police Dept,Active
1342,Stewardson Police Dept,Active
1343,Stickney Police Dept,Active
1344,Stockton Police Dept,Active
1345,Stone Park Police Dept,Active
1346,Stonington Police Dept,Active
1347,Strasburg Police Dept,Inactive
1348,Streamwood Police Dept,Active
1349,Streator Police Dept,Active
1350,Stronghurst Police Dept,Active
1351,Sugar Grove Police Dept,Active
1352,Sullivan Police Dept,Active
1353,Summerfield Police Dept,Active
1354,Summit Police Dept,Active
1355,Sumner Police Dept,Active
1356,Sun River Terrace Police Dept,Inactive
1357,Sunnyside Police Department,Inactive
1358,Swansea Police Dept,Active
1359,Sycamore Police Dept,Active
1360,Tallula Police Department,Inactive
1361,Tamaroa Police Dept,Inactive
1362,Tamms Police Dept,Active
1363,Tampico Police Dept,Active
1364,Taylor Springs Police Dept,Active
1365,Taylorville Police Dept,Active
1366,Tazewell Co Circuit Clerk,Active
1367,Tazewell Co Coroner's Office,Inactive
1368,Tazewell Co State's Attorney,Active
1369,Tazewell County Sheriff's Office,Active
1370,Terminal Railroad Police Department,Active
1371,Teutopolis Police Dept,Active
1372,Thayer Police Dept,Active
1373,Thebes Police Dept,Inactive
1374,Thomasboro Police Dept,Active
1375,Thompsonville Police Dept,Active
1376,Thomson Police Dept,Active
1377,Thornton Police Dept,Active
1378,Tilden Police Dept,Active
1379,Tilton Police Dept,Active
1380,Tinley Park Police Dept,Active
1381,Tiskilwa  Police Dept,Active
1382,Toledo Police Dept,Active
1383,Tolono Police Dept,Active
1384,Toluca Police Dept,Active
1385,Tonica Police Dept,Active
1386,Topeka Police Dept,Inactive
1387,Toulon Police Dept,Active
1388,Tovey Police Dept,Inactive
1389,Tower Lakes Police Dept,Active
1390,Tremont Area Park District,Inactive
1391,Tremont Police Dept,Active
1392,Trenton Police Dept,Active
1393,Triton College Police Dept,Active
1394,Troy Police Dept,Active
1395,Tuscola Police Dept,Active
1396,U of I at Chicago Campus Police Dep,Active
1397,U of I Springfield Campus Police,Active
1398,Ullin Police Dept,Active
1399,Union Co Circuit Clerk,Active
1400,Union Co Coroner's Office,Inactive
1401,Union Co State's Attorney,Inactive
1402,Union County Sheriff's Office,Active
1403,Union Pacific Railroad Police Dept,Active
1404,Union Police Dept,Active
1405,United States Government Agency,Inactive
1406,University Of Chicago Police Dept,Active
1407,University of Illinois Police Dept,Active
1408,University Park Police Dept,Active
1409,Urbana Park District Police Dept,Inactive
1410,Urbana Police Dept,Active
1411,Valier Police Dept,Active
1412,Valmeyer Police Dept,Active
1413,Vandalia Police Dept,Active
1414,Venice Police Dept,Active
1415,Vermilion Co Circuit Clerk,Active
1416,Vermilion Co Conv Dist Police,Active
1417,Vermilion Co Coroner's Office,Inactive
1418,Vermilion Co State's Attorney,Inactive
1419,Vermilion County Probation,Active
1420,Vermilion County Sheriff's Office,Active
1421,Vermont Police Dept,Active
1422,Vernon Hills Police Dept,Active
1423,Versailles Police Dept,Inactive
1424,Veterans Administration Police Dept,Inactive
1425,Veterans Park Dist Police Dept,Inactive
1426,Victoria Police Dept,Inactive
1427,Vienna Police Dept,Active
1428,Villa Grove Police Dept,Active
1429,Villa Park Police Dept,Active
1430,Village of Eldred,Inactive
1431,Viola Police Dept,Active
1432,Virden Police Dept,Active
1433,Virginia Police Dept,Active
1434,Wabash Co Circuit Clerk,Active
1435,Wabash Co Coroner's Office,Inactive
1436,Wabash Co State's Attorney,Active
1437,Wabash County Sheriff's Office,Active
1438,Walnut Police Dept,Active
1439,Wamac Police Dept,Active
1440,Warren Co Circuit Clerk,Active
1441,Warren Co Coroner's Office,Inactive
1442,Warren Co State's Attorney,Active
1443,Warren County Sheriff's Office,Active
1444,Warren Police Dept,Active
1445,Warrensburg Police Dept,Active
1446,Warrenville Police Dept,Active
1447,Warsaw Police Dept,Inactive
1448,Washburn Police Dept,Inactive
1449,Washington Co Circuit Clerk,Active
1450,Washington Co Coroner's Office,Inactive
1451,Washington Co State's Attorney,Active
1452,Washington County Sheriff's Office,Active
1453,Washington Park Police Dept,Active
1454,Washington Police Dept,Active
1455,Wataga Police Dept,Inactive
1456,Waterloo Police Dept,Active
1457,Waterman Police Dept,Active
1458,Watseka Police Dept,Active
1459,Waubonsee College Police Dept,Active
1460,Wauconda Police Dept,Active
1461,Waukegan Police Dept,Active
1462,Waverly Police Dept,Active
1463,Wayne City Police Dept,Active
1464,Wayne Co Circuit Clerk,Active
1465,Wayne Co Coroner's Office,Inactive
1466,Wayne Co State's Attorney,Active
1467,Wayne County Sheriff's Office,Active
1468,Wayne Police Dept,Active
1469,Wellington Police Dept,Inactive
1470,Wenona Police Dept,Active
1471,West Chicago Police Dept,Active
1472,West City Police Dept,Active
1473,West Dundee Police Dept,Active
1474,West Frankfort Police Dept,Active
1475,West Salem Police Dept,Active
1476,Westchester Police Dept,Active
1477,Western Springs Police Dept,Active
1478,Westfield Police Dept,Active
1479,Westmont Police Dept,Active
1480,Westville Police Dept,Active
1481,Wheaton Police Dept,Active
1482,Wheeling Police Dept,Active
1483,White City Police Dept,Inactive
1484,White Co Circuit Clerk,Active
1485,White Co Coroner's Office,Inactive
1486,White Co State's Attorney,Active
1487,White County Sheriff's Office,Active
1488,White Hall Police Dept,Active
1489,Whiteash Police Dept,Inactive
1490,Whiteside Co Circuit Clerk,Active
1491,Whiteside Co Coroner's Office,Inactive
1492,Whiteside Co State's Attorney,Inactive
1493,Whiteside County Sheriff's Office,Active
1494,Will Co Circuit Clerk,Active
1495,Will Co Coroner's Office,Inactive
1496,Will Co Forest Pres Police Dept,Active
1497,Will Co State's Attorney,Active
1498,Will County Sheriff's Office,Active
1499,Williamsfield Police Dept,Active
1500,Williamson Co Circuit Clerk,Active
1501,Williamson Co Coroner's Office,Inactive
1502,Williamson Co State's Attorney,Active
1503,Williamson County Sheriff's Office,Active
1504,Williamson Police Dept,Active
1505,Williamsville Police Dept,Active
1506,Willisville Police Department,Active
1507,Willow Springs Police Department,Active
1508,Willowbrook Police Dept,Active
1509,Wilmette Police Dept,Active
1510,Wilmington Police Dept,Active
1511,Wilsonville Police Dept,Active
1512,Winchester Police Dept,Active
1513,Windsor Police Dept,Active
1514,Winfield Police Dept,Active
1515,Winnebago Co Circuit Clerk,Active
1516,Winnebago Co Coroner's Office,Inactive
1517,Winnebago Co State's Attorney,Active
1518,Winnebago County Forest Preserve PD,Inactive
1519,Winnebago County Sheriff's Office,Active
1520,Winnebago Police Dept,Active
1521,Winnetka Police Dept,Active
1522,Winthrop Harbor Police Dept,Active
1523,Witt Police Dept,Active
1524,WIU Office Of Public Safety,Active
1525,Wonder Lake Police Dept,Active
1526,Wood Dale Police Dept,Active
1527,Wood River Police Dept,Active
1528,Woodford Co Circuit Clerk,Active
1529,Woodford Co Coroner's Office,Inactive
1530,Woodford Co State's Attorney,Inactive
1531,Woodford County Sheriff's Office,Active
1532,Woodhull Police Dept,Active
1533,Woodland Police Dept,Active
1534,Woodridge Police Dept,Active
1535,Woodson Police Dept,Inactive
1536,Woodstock Police Dept,Active
1537,Worden Police Dept,Active
1538,Worth Police Dept,Active
1539,Wyanet Police Dept,Active
1540,Wyoming Police Dept,Active
1541,Xenia Police Dept,Active
1542,Yates City Police Dept,Active
1543,Yorkville Police Dept,Active
1544,Zeigler Police Dept,Active
1545,Zion Park Dist Police Dept,Active
1546,Zion Police Dept,Active
1547,Kankakee Community College Police,Active
1548,ILESTB-EI,Active
1550,MTU1,Active
1551,MTU10,Active
1553,MTU11,Inactive
1554,MTU12,Active
1555,MTU14,Active
1556,MTU15,Active
1557,MTU16,Active
1559,MTU 2,Active
1562,MTU 3,Active
1564,MTU 4,Active
1565,MTU 5,Active
1570,MTU 6,Inactive
1571,MTU 7,Active
1572,MTU 8,Active
1573,MTU 9,Active
1575,Lomax Police Dept,Active
1577,ILETSB,Active
1578,Freeport Park District Police,Active
1580,Millikin University Police Dept,Active
1582,AG Valley Railroad Police Dept,Active
1584,Augustana College Police Dept,Active
1587,Lima Police Department,Inactive
1589,Plainville Police Dept,Active
1590,North City Police Dept,Inactive
1591,MTU13,Active
1592,Piatt County Probation,Active
1594,Shelby County Animal Control,Active
1605,Peoria County Probation,Active
1606,Iroquois County Probation,Active
1607,Tazewell County Probation,Active
1608,Cook County Probation,Active
1609,Ursa Police Dept,Active
1610,DeWitt County Probation,Active
1611,Macon County Probation,Inactive
1612,Calumet Memorial Public Safety,Inactive
1613,Coles County Probation,Active
1615,Farmersville Police Dept,Active
1616,Rockford University Police Dept,Active
1617,Moody Bible Institute Police Dept,Active
1618,Sluga Meadows Police Dept,Active
