FTLE,65157376,202211756,2022
FTLE,65157375,202211755,2022
FTLE,65157364,202211754,2022
FTLE,65157222,202211753,2022
FTLE,65157220,202211752,2022
FTLE,65157322,202211751,2022
FTLE,65157288,202211750,2022
FTLE,65157258,202211749,2022
FTLE,65152103,202211748,2022
FTLE,65157320,202211747,2022
FTLE,65157267,202211746,2022
FTLE,65149287,202211745,2022
FTLE,65157266,202211744,2022
FTLE,65157467,202211743,2022
FTLE,65157242,202211742,2022
FTLE,65157403,202211741,2022
FTLE,65157377,202211740,2022
FTLE,65157236,202211739,2022
FTLE,65157307,202211738,2022
FTLE,65157312,202211737,2022
FTLE,65157306,202211736,2022
FTLE,65157378,202211735,2022
FTLE,65157476,202211734,2022
FTLE,65157305,202211733,2022
FTLE,65156598,202211732,2022
FTLE,65157239,202211731,2022
FTLE,65157310,202211730,2022
FTLE,65157215,202211729,2022
FTLE,65156878,202211728,2022
FTLE,65157333,202211727,2022
FTLE,65157311,202211726,2022
FTLE,65157287,202211725,2022
FTLE,65157255,202211724,2022
FTLE,65157229,202211723,2022
FTLE,65157316,202211722,2022
FTLE,65157245,202211721,2022
FTLE,65157323,202211720,2022
FTLE,65157400,202211719,2022
FTLE,65157256,202211718,2022
FTLE,65157315,202211717,2022
FTLE,65146390,202211716,2022
FTLE,65143720,202211715,2022
FTLE,65157308,202211714,2022
FTLE,65157304,202211713,2022
FTLE,65157237,202211712,2022
FTLE,65157221,202211711,2022
FTLE,65157332,202211710,2022
FTLE,65157224,202211709,2022
FTLE,65157363,202211708,2022
FTLE,65157313,202211707,2022
FTLE,65157319,202211706,2022
FTLE,65157290,202211705,2022
FTLE,65157277,202211704,2022
FTLE,65152368,202211703,2022
FTLE,65153273,202211702,2022
FTLE,65157243,202211701,2022
FTLE,65157301,202211700,2022
COR,65157379,202211699,2022
COR,65157481,202211698,2022
COR,65157381,202211697,2022
COR,65156256,202211694,2022
COR,65156457,202211693,2022
FTLE,65156743,202211692,2022
FTLE,65157020,202211691,2022
FTLE,65156985,202211690,2022
FTLE,65156764,202211689,2022
FTLE,65156780,202211686,2022
FTLE,65157122,202211685,2022
FTLE,65156979,202211684,2022
FTLE,65156976,202211683,2022
FTLE,65157061,202211682,2022
COR,65157641,202211676,2022
COR,65157656,202211675,2022
COR,65151771,202211674,2022
COR,65157653,202211673,2022
COR,65157655,202211672,2022
COR,65157637,202211671,2022
COR,65157659,202211670,2022
